Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,La Liga,255,Joan Jordán,es ESP,MF,Eibar,23,1994,35,25,"2,435",6,3,1,2,2,2
2017-2018,La Liga,256,Willian José,br BRA,FW,Real Sociedad,25,1991,34,32,"2,763",15,4,3,4,4,0
2017-2018,La Liga,257,Jozabed,es ESP,MF,Celta Vigo,26,1991,24,18,"1,465",0,4,0,0,7,0
2017-2018,La Liga,258,Juanfran,es ESP,DF,Atlético Madrid,32,1985,17,15,"1,306",0,0,0,0,3,0
2017-2018,La Liga,259,Juanfran,es ESP,DF,La Coruña,28,1988,35,34,"3,055",0,1,0,0,3,0
2017-2018,La Liga,260,Juankar,es ESP,DF,Málaga,27,1990,10,9,784,0,0,0,0,2,0
2017-2018,La Liga,261,Juanmi,es ESP,"FW,MF",Real Sociedad,24,1993,30,18,"1,489",8,2,0,0,3,0
2017-2018,La Liga,262,Juanpe,es ESP,DF,Girona,26,1991,35,34,"3,066",5,1,0,0,7,0
2017-2018,La Liga,263,Juanpi,ve VEN,"MF,FW",Málaga,23,1994,16,5,615,0,2,0,0,1,0
2017-2018,La Liga,264,David Juncà,es ESP,DF,Eibar,23,1993,15,10,900,0,3,0,0,3,0
2017-2018,La Liga,265,Aleksandar Katai,rs SRB,"FW,MF",Alavés,26,1991,3,0,57,0,0,0,0,0,0
2017-2018,La Liga,266,Olarenwaju Kayode,ng NGA,"FW,MF",Girona,24,1993,12,2,397,0,0,0,0,2,0
2017-2018,La Liga,267,Keko,es ESP,"MF,FW",Málaga,25,1991,21,15,"1,203",0,2,0,0,3,0
2017-2018,La Liga,268,Kike,es ESP,FW,Eibar,27,1989,35,28,"2,458",8,1,0,0,5,0
2017-2018,La Liga,269,Simon Kjær,dk DEN,DF,Sevilla,28,1989,20,18,"1,571",2,1,0,0,3,0
2017-2018,La Liga,270,Koke,es ESP,"MF,FW",Atlético Madrid,25,1992,35,33,"2,753",4,3,0,0,3,0
2017-2018,La Liga,271,Geoffrey Kondogbia,cf CTA,MF,Valencia,24,1993,31,30,"2,614",4,3,0,0,12,2
2017-2018,La Liga,272,Mateo Kovačić,hr CRO,MF,Real Madrid,23,1994,21,10,994,0,1,0,0,2,0
2017-2018,La Liga,273,Maksym Koval,ua UKR,"GK,MF",La Coruña,24,1992,2,2,121,0,0,0,0,0,1
2017-2018,La Liga,274,Bojan Krkić,es ESP,"FW,MF",Alavés,26,1990,13,4,445,0,0,0,0,0,0
2017-2018,La Liga,275,Michael Krohn-Dehli,dk DEN,MF,La Coruña,34,1983,11,10,726,0,0,0,0,2,0
