Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2018-2019,Bundesliga,260,Lukas Kübler,de GER,DF,Freiburg,25,1992,16,15,"1,184",0,2,0,0,2,0
2018-2019,Bundesliga,261,Yuya Kubo,jp JPN,"FW,MF",Nürnberg,24,1993,22,15,"1,357",1,0,0,0,2,0
2018-2019,Bundesliga,262,Pierre Kunde,cm CMR,MF,Mainz 05,23,1995,29,23,"1,909",0,0,0,0,5,0
2018-2019,Bundesliga,263,Ahmed Kutucu,tr TUR,"FW,MF",Schalke 04,18,2000,13,3,425,2,0,0,0,0,0
2018-2019,Bundesliga,264,Konrad Laimer,at AUT,"MF,DF",RB Leipzig,21,1997,29,20,"1,874",1,1,0,0,7,0
2018-2019,Bundesliga,265,Michael Lang,ch SUI,DF,M'Gladbach,27,1991,17,15,"1,255",1,0,0,0,0,0
2018-2019,Bundesliga,266,Sebastian Langkamp,de GER,DF,Werder Bremen,30,1988,21,15,"1,414",0,0,0,0,4,0
2018-2019,Bundesliga,267,Danny Latza,de GER,MF,Mainz 05,28,1989,24,22,"1,863",0,3,0,0,4,0
2018-2019,Bundesliga,268,Valentino Lazaro,at AUT,"DF,MF",Hertha BSC,22,1996,31,31,"2,741",3,6,0,0,6,0
2018-2019,Bundesliga,269,Mathew Leckie,au AUS,"FW,MF",Hertha BSC,27,1991,18,10,941,2,0,0,0,3,0
2018-2019,Bundesliga,270,Tim Leibold,de GER,DF,Nürnberg,24,1993,32,32,"2,765",0,2,0,1,6,1
2018-2019,Bundesliga,271,Robert Lewandowski,pl POL,FW,Bayern Munich,29,1988,33,33,"2,957",22,7,3,4,2,0
2018-2019,Bundesliga,272,Philipp Lienhart,at AUT,DF,Freiburg,22,1996,14,7,614,0,0,0,0,0,0
2018-2019,Bundesliga,273,Davor Lovren,hr CRO,"MF,FW",Düsseldorf,19,1998,2,0,46,0,0,0,0,0,0
2018-2019,Bundesliga,274,Eduard Löwen,de GER,"MF,FW",Nürnberg,21,1997,22,17,"1,623",3,2,0,0,3,0
2018-2019,Bundesliga,275,Derrick Luckassen,nl NED,DF,Hertha BSC,23,1995,4,2,250,0,0,0,0,0,0
2018-2019,Bundesliga,276,Dodi Lukebakio,cd COD,"FW,MF",Düsseldorf,20,1997,31,22,"1,972",10,3,4,6,6,0
2018-2019,Bundesliga,277,Fabian Lustenberger,ch SUI,"DF,MF",Hertha BSC,30,1988,29,24,"2,172",0,1,0,0,2,0
2018-2019,Bundesliga,278,Andreas Luthe,de GER,GK,Augsburg,31,1987,15,14,"1,311",0,0,0,0,0,0
2018-2019,Bundesliga,279,Pablo Maffeo,es ESP,"DF,MF",Stuttgart,21,1997,8,8,597,0,0,0,0,1,0
2018-2019,Bundesliga,280,Arne Maier,de GER,MF,Hertha BSC,19,1999,24,23,"2,064",0,0,0,0,2,0
2018-2019,Bundesliga,281,Linton Maina,de GER,"MF,FW",Hannover 96,19,1999,20,17,"1,414",1,3,0,0,0,0
2018-2019,Bundesliga,282,Yunus Mallı,tr TUR,"MF,FW",Wolfsburg,26,1992,21,5,701,1,1,1,1,0,0
2018-2019,Bundesliga,283,Georg Margreitter,at AUT,DF,Nürnberg,29,1988,27,22,"2,064",2,0,0,0,2,0
2018-2019,Bundesliga,284,Aarón Martín,es ESP,DF,Mainz 05,21,1997,33,32,"2,878",0,3,0,0,3,0
2018-2019,Bundesliga,285,Javi Martínez,es ESP,MF,Bayern Munich,29,1988,21,16,"1,309",3,0,0,0,3,0
