Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,EPL,96,Nathaniel Clyne,eng ENG,"DF,MF",Liverpool,26,1991,3,2,174,0,0,0,0,1,0
2017-2018,EPL,97,Séamus Coleman,ie IRL,DF,Everton,28,1988,12,12,"1,035",0,1,0,0,0,0
2017-2018,EPL,98,James Collins,wal WAL,DF,West Ham,33,1983,13,12,"1,050",1,0,0,0,3,0
2017-2018,EPL,99,Lewis Cook,eng ENG,MF,Bournemouth,20,1997,29,25,"2,237",0,2,0,0,5,0
2017-2018,EPL,100,Steve Cook,eng ENG,DF,Bournemouth,26,1991,34,31,"2,767",2,1,0,0,5,0
2017-2018,EPL,101,Francis Coquelin,fr FRA,"MF,DF",Arsenal,26,1991,7,1,169,0,0,0,0,0,0
2017-2018,EPL,102,Jack Cork,eng ENG,MF,Burnley,28,1989,38,38,"3,420",2,1,0,0,7,0
2017-2018,EPL,103,Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35,35,"3,150",0,0,0,0,2,0
2017-2018,EPL,104,Philippe Coutinho,br BRA,"MF,FW",Liverpool,25,1992,14,13,"1,109",7,6,0,0,0,0
2017-2018,EPL,105,Martin Cranie,eng ENG,"DF,MF",Huddersfield,30,1986,3,2,180,0,0,0,0,0,0
2017-2018,EPL,106,Aaron Cresswell,eng ENG,DF,West Ham,27,1989,36,35,"3,069",1,3,0,0,7,0
2017-2018,EPL,107,Peter Crouch,eng ENG,FW,Stoke City,36,1981,31,14,"1,567",5,2,0,0,4,0
2017-2018,EPL,108,Josh Cullen,ie IRL,"FW,MF",West Ham,21,1996,2,0,8,0,0,0,0,0,0
2017-2018,EPL,109,Charlie Daniels,eng ENG,"DF,MF",Bournemouth,30,1986,35,34,"3,002",1,3,0,0,0,0
2017-2018,EPL,110,Danilo,br BRA,DF,Manchester City,26,1991,23,13,"1,349",3,2,0,0,2,0
2017-2018,EPL,111,Scott Dann,eng ENG,DF,Crystal Palace,30,1987,17,16,"1,435",1,0,0,0,4,0
2017-2018,EPL,112,Karl Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,10,900,0,0,0,0,0,0
2017-2018,EPL,113,Matteo Darmian,it ITA,DF,Manchester Utd,27,1989,8,5,444,0,0,0,0,0,0
2017-2018,EPL,114,Ben Davies,wal WAL,DF,Tottenham,24,1993,29,26,"2,324",2,6,0,0,3,0
2017-2018,EPL,115,Tom Davies,eng ENG,MF,Everton,19,1998,33,20,"1,900",2,1,0,0,7,0
2017-2018,EPL,116,Steven Davis,nir NIR,MF,Southampton,32,1985,23,17,"1,521",3,0,0,0,0,0
2017-2018,EPL,117,Craig Dawson,eng ENG,DF,West Brom,27,1990,28,28,"2,510",2,0,0,0,6,0
2017-2018,EPL,118,Kevin De Bruyne,be BEL,MF,Manchester City,26,1991,37,36,"3,073",8,16,0,0,2,0
2017-2018,EPL,119,Troy Deeney,eng ENG,FW,Watford,29,1988,29,20,"1,844",5,2,3,5,1,1
2017-2018,EPL,120,Jermain Defoe,eng ENG,FW,Bournemouth,34,1982,24,11,"1,088",4,1,0,0,1,0
2017-2018,EPL,121,Steven Defour,be BEL,MF,Burnley,29,1988,24,24,"1,997",1,1,0,0,6,0
2017-2018,EPL,122,Damien Delaney,ie IRL,DF,Crystal Palace,36,1981,2,1,96,0,0,0,0,0,0
2017-2018,EPL,123,Fabian Delph,eng ENG,DF,Manchester City,27,1989,22,21,"1,741",1,2,0,0,2,0
2017-2018,EPL,124,Mousa Dembélé,be BEL,MF,Tottenham,30,1987,28,21,"1,879",0,0,0,0,6,0
2017-2018,EPL,125,Laurent Depoitre,be BEL,FW,Huddersfield,28,1988,33,18,"1,820",6,1,0,0,1,0
2017-2018,EPL,126,Mike van der Hoorn,nl NED,DF,Swansea City,24,1992,24,24,"1,944",1,0,0,0,4,0
2017-2018,EPL,127,Gerard Deulofeu,es ESP,"FW,MF",Watford,23,1994,7,5,435,1,0,0,0,0,0
2017-2018,EPL,128,Fousseni Diabaté,ml MLI,"MF,FW",Leicester City,21,1995,14,5,587,0,1,0,0,1,0
2017-2018,EPL,129,Mohamed Diamé,sn SEN,MF,Newcastle Utd,30,1987,31,23,"2,041",2,0,0,0,3,0
2017-2018,EPL,130,Brahim Díaz,es ESP,"FW,MF",Manchester City,17,1999,5,0,55,0,0,0,0,0,0
