Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,Bundesliga,269,Filip Kostić,rs SRB,"FW,MF",Hamburger SV,24,1992,30,27,"2,438",5,1,0,1,2,0
2017-2018,Bundesliga,270,Vincent Koziello,fr FRA,MF,Köln,21,1995,12,8,789,1,0,0,0,3,0
2017-2018,Bundesliga,271,Thomas Kraft,de GER,GK,Hertha BSC,29,1988,3,3,270,0,0,0,0,1,0
2017-2018,Bundesliga,272,Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,26,1991,34,22,"2,228",13,6,2,2,1,0
2017-2018,Bundesliga,273,Christoph Kramer,de GER,MF,M'Gladbach,26,1991,27,26,"2,151",3,0,0,0,5,0
2017-2018,Bundesliga,274,Max Kruse,de GER,FW,Werder Bremen,29,1988,29,28,"2,453",6,6,0,0,2,0
2017-2018,Bundesliga,275,Lukas Kübler,de GER,DF,Freiburg,24,1992,15,13,"1,151",0,0,0,0,3,0
2017-2018,Bundesliga,276,Filip Kusić,rs SRB,DF,Köln,21,1996,1,0,15,0,0,0,0,0,0
2017-2018,Bundesliga,277,Konrad Laimer,at AUT,"DF,MF",RB Leipzig,20,1997,22,14,"1,337",0,2,0,0,2,0
2017-2018,Bundesliga,278,Sebastian Langkamp,de GER,DF,Werder Bremen,29,1988,9,5,411,0,0,0,0,2,0
2017-2018,Bundesliga,279,Sebastian Langkamp,de GER,DF,Hertha BSC,29,1988,12,11,955,0,0,0,0,2,0
2017-2018,Bundesliga,280,Danny Latza,de GER,MF,Mainz 05,27,1989,29,27,"2,352",2,1,0,0,7,0
2017-2018,Bundesliga,281,Valentino Lazaro,at AUT,"MF,FW",Hertha BSC,21,1996,26,19,"1,864",2,5,0,0,4,0
2017-2018,Bundesliga,282,Mathew Leckie,au AUS,"FW,MF",Hertha BSC,26,1991,26,19,"1,853",5,1,0,0,3,0
